Columns Steel - Data,,,,,,,,,,,,,,,,,
Mark,Type Mark,Family,Type,Classification.MasterFormat.Description,Classification.MasterFormat.Number,Count,Base Level,Base Offset,Top Level,Top Offset,Length,Column Location Mark,BHE_Material,Workset,BHE_Material Grade,Tonnage By Volume,
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-17,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-16,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-15,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-14,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-13,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-12,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-11,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,100-CS204,BHE_StructuralColumns_CircularHollowSections-Column,CHS88.9x5,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,3,LEVEL 01 SSL,-8385,1612.775,,Steel,BHE_ELEM_New Structure Ramp,,0.002 m³,0.016676
,100-CS204,BHE_StructuralColumns_CircularHollowSections-Column,CHS88.9x5,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,3,LEVEL 01 SSL,-8522,1475.847,,Steel,BHE_ELEM_New Structure Ramp,,0.002 m³,0.01526
,100-CS204,BHE_StructuralColumns_CircularHollowSections-Column,CHS88.9x5,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,3,LEVEL 01 SSL,-8797,1201.041,,Steel,BHE_ELEM_New Structure Ramp,,0.001 m³,0.009842
,100-CS204,BHE_StructuralColumns_CircularHollowSections-Column,CHS88.9x5,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,3,LEVEL 01 SSL,-8797,1201.041,,Steel,BHE_ELEM_New Structure Ramp,,0.001 m³,0.01094
,100-CS204,BHE_StructuralColumns_CircularHollowSections-Column,CHS88.9x5,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,3,LEVEL 01 SSL,-8797,1201.041,,Steel,BHE_ELEM_New Structure Ramp,,0.001 m³,0.010929
,100-CS204,BHE_StructuralColumns_CircularHollowSections-Column,CHS88.9x5,Structural Steel Framing,05 12 00,1,LEVEL 00 SSL,3,LEVEL 01 SSL,-8797,1201.041,,Steel,BHE_ELEM_New Structure Ramp,,0.001 m³,0.011696
